States,Regions,Dates,Usage,,,,
Andhra Pradesh,South,18-08-2019 0.00,197.4,,,,
Andhra Pradesh,South,19-08-2019 0.00,194.6,,,,
Andhra Pradesh,South,20-08-2019 0.00,194.6,,,,
Andhra Pradesh,South,21-08-2019 0.00,191.3,,,,
Andhra Pradesh,South,22-08-2019 0.00,155.9,,,,
Andhra Pradesh,South,23-08-2019 0.00,158.2,,,,
Andhra Pradesh,South,24-08-2019 0.00,160.2,,,,
Andhra Pradesh,South,25-08-2019 0.00,166.5,,,,
Andhra Pradesh,South,26-08-2019 0.00,167.6,,,,
Andhra Pradesh,South,27-08-2019 0.00,167.4,,,,
Andhra Pradesh,South,28-08-2019 0.00,164.8,,,,
Andhra Pradesh,South,29-08-2019 0.00,172.8,,,,
Andhra Pradesh,South,30-08-2019 0.00,162.7,,,,
Andhra Pradesh,South,31-08-2019 0.00,159.2,,,,
Andhra Pradesh,South,01-09-2019 0.00,153.8,,,,
Andhra Pradesh,South,02-09-2019 0.00,152.4,,,,
Andhra Pradesh,South,03-09-2019 0.00,159.3,,,,
Andhra Pradesh,South,04-09-2019 0.00,156.6,,,,
Andhra Pradesh,South,05-09-2019 0.00,201.2,,,,
Andhra Pradesh,South,06-09-2019 0.00,205.1,,,,
Andhra Pradesh,South,08-09-2019 0.00,204.3,,,,
Andhra Pradesh,South,09-09-2019 0.00,201.3,,,,
Andhra Pradesh,South,10-09-2019 0.00,198.5,,,,
Andhra Pradesh,South,11-09-2019 0.00,192.9,,,,
Andhra Pradesh,South,12-09-2019 0.00,172.3,,,,
Andhra Pradesh,South,13-09-2019 0.00,178.1,,,,
Andhra Pradesh,South,14-09-2019 0.00,181.9,,,,
Andhra Pradesh,South,15-09-2019 0.00,179.2,,,,
Andhra Pradesh,South,16-09-2019 0.00,169,,,,
Andhra Pradesh,South,17-09-2019 0.00,165.5,,,,
Andhra Pradesh,South,18-09-2019 0.00,164.9,,,,
Andhra Pradesh,South,19-09-2019 0.00,193.5,,,,
Andhra Pradesh,South,20-09-2019 0.00,193.9,,,,
Andhra Pradesh,South,21-09-2019 0.00,193.9,,,,
Andhra Pradesh,South,22-09-2019 0.00,195.6,,,,
Andhra Pradesh,South,23-09-2019 0.00,193.5,,,,
Andhra Pradesh,South,24-09-2019 0.00,187.8,,,,
Andhra Pradesh,South,25-09-2019 0.00,178.1,,,,
Andhra Pradesh,South,26-09-2019 0.00,165.1,,,,
Andhra Pradesh,South,27-09-2019 0.00,164.4,,,,
Andhra Pradesh,South,28-09-2019 0.00,156.5,,,,
Andhra Pradesh,South,29-09-2019 0.00,152.3,,,,
Andhra Pradesh,South,30-09-2019 0.00,154.9,,,,
Andhra Pradesh,South,01-10-2019 0.00,155.4,,,,
Andhra Pradesh,South,02-10-2019 0.00,149.7,,,,
Andhra Pradesh,South,03-10-2019 0.00,159.1,,,,
Andhra Pradesh,South,04-10-2019 0.00,151.4,,,,
Andhra Pradesh,South,05-10-2019 0.00,151.2,,,,
Andhra Pradesh,South,06-10-2019 0.00,157,,,,
Andhra Pradesh,South,08-10-2019 0.00,163.4,,,,
Andhra Pradesh,South,09-10-2019 0.00,165.2,,,,
Andhra Pradesh,South,10-10-2019 0.00,163.4,,,,
Andhra Pradesh,South,11-10-2019 0.00,193.3,,,,
Andhra Pradesh,South,12-10-2019 0.00,197,,,,
Andhra Pradesh,South,13-10-2019 0.00,196.7,,,,
Andhra Pradesh,South,14-10-2019 0.00,197.6,,,,
Andhra Pradesh,South,15-10-2019 0.00,197.4,,,,
Andhra Pradesh,South,16-10-2019 0.00,197.7,,,,
Andhra Pradesh,South,17-10-2019 0.00,196.5,,,,
Andhra Pradesh,South,18-10-2019 0.00,170.4,,,,
Andhra Pradesh,South,19-10-2019 0.00,166.7,,,,
Andhra Pradesh,South,20-10-2019 0.00,156,,,,
Andhra Pradesh,South,21-10-2019 0.00,153.7,,,,
Andhra Pradesh,South,22-10-2019 0.00,167.5,,,,
Andhra Pradesh,South,23-10-2019 0.00,169.5,,,,
Andhra Pradesh,South,24-10-2019 0.00,170.2,,,,
Andhra Pradesh,South,25-10-2019 0.00,186,,,,
Andhra Pradesh,South,26-10-2019 0.00,183.4,,,,
Andhra Pradesh,South,27-10-2019 0.00,183.6,,,,
Andhra Pradesh,South,28-10-2019 0.00,184.7,,,,
Andhra Pradesh,South,29-10-2019 0.00,183.3,,,,
Andhra Pradesh,South,30-10-2019 0.00,174,,,,
Andhra Pradesh,South,31-10-2019 0.00,164.1,,,,
Andhra Pradesh,South,01-11-2019 0.00,154.9,,,,
Andhra Pradesh,South,02-11-2019 0.00,158.7,,,,
Andhra Pradesh,South,03-11-2019 0.00,160.9,,,,
Andhra Pradesh,South,04-11-2019 0.00,163,,,,
Andhra Pradesh,South,05-11-2019 0.00,165,,,,
Andhra Pradesh,South,06-11-2019 0.00,166.6,,,,
Andhra Pradesh,South,08-11-2019 0.00,171,,,,
Andhra Pradesh,South,09-11-2019 0.00,173.2,,,,
Andhra Pradesh,South,10-11-2019 0.00,176,,,,
Andhra Pradesh,South,11-11-2019 0.00,173.3,,,,
Andhra Pradesh,South,12-11-2019 0.00,171.9,,,,
Andhra Pradesh,South,13-11-2019 0.00,165.5,,,,
Andhra Pradesh,South,14-11-2019 0.00,168.3,,,,
Andhra Pradesh,South,15-11-2019 0.00,168.3,,,,
Andhra Pradesh,South,16-11-2019 0.00,196.6,,,,
Andhra Pradesh,South,17-11-2019 0.00,199.2,,,,
Andhra Pradesh,South,18-11-2019 0.00,198.1,,,,
Andhra Pradesh,South,19-11-2019 0.00,197.4,,,,
Andhra Pradesh,South,20-11-2019 0.00,197.4,,,,
Andhra Pradesh,South,21-11-2019 0.00,196.6,,,,
Andhra Pradesh,South,22-11-2019 0.00,192,,,,
Andhra Pradesh,South,23-11-2019 0.00,172.2,,,,
Andhra Pradesh,South,24-11-2019 0.00,174.8,,,,
Andhra Pradesh,South,25-11-2019 0.00,174.5,,,,
Andhra Pradesh,South,26-11-2019 0.00,174.2,,,,
Andhra Pradesh,South,27-11-2019 0.00,175.9,,,,
Andhra Pradesh,South,28-11-2019 0.00,178.1,,,,
Andhra Pradesh,South,29-11-2019 0.00,184.3,,,,
Andhra Pradesh,South,30-11-2019 0.00,181,,,,
Andhra Pradesh,South,01-12-2019 0.00,191,,,,
Andhra Pradesh,South,02-12-2019 0.00,197.3,,,,
Andhra Pradesh,South,03-12-2019 0.00,198.4,,,,
Andhra Pradesh,South,04-12-2019 0.00,198.7,,,,
Andhra Pradesh,South,05-12-2019 0.00,201.8,,,,
Andhra Pradesh,South,06-12-2019 0.00,197.6,,,,
Andhra Pradesh,South,08-12-2019 0.00,175.6,,,,
Andhra Pradesh,South,09-12-2019 0.00,180.6,,,,
Andhra Pradesh,South,10-12-2019 0.00,178.7,,,,
Andhra Pradesh,South,11-12-2019 0.00,180.5,,,,
Andhra Pradesh,South,12-12-2019 0.00,174.5,,,,
Andhra Pradesh,South,13-12-2019 0.00,181.9,,,,
Andhra Pradesh,South,14-12-2019 0.00,185.5,,,,
Andhra Pradesh,South,15-12-2019 0.00,180.7,,,,
Andhra Pradesh,South,16-12-2019 0.00,184.5,,,,
Andhra Pradesh,South,17-12-2019 0.00,186.4,,,,
Andhra Pradesh,South,18-12-2019 0.00,187.8,,,,
Andhra Pradesh,South,19-12-2019 0.00,189,,,,
Andhra Pradesh,South,20-12-2019 0.00,189.7,,,,
Andhra Pradesh,South,21-12-2019 0.00,189.7,,,,
Andhra Pradesh,South,22-12-2019 0.00,155.9,,,,
Andhra Pradesh,South,23-12-2019 0.00,159.7,,,,
Andhra Pradesh,South,24-12-2019 0.00,163,,,,
Andhra Pradesh,South,25-12-2019 0.00,160.7,,,,
Andhra Pradesh,South,26-12-2019 0.00,159.3,,,,
Andhra Pradesh,South,27-12-2019 0.00,156.6,,,,
Andhra Pradesh,South,28-12-2019 0.00,154.2,,,,
Andhra Pradesh,South,29-12-2019 0.00,181.9,,,,
Andhra Pradesh,South,30-12-2019 0.00,186.9,,,,
